id,titulo,descripcion,prioridad,completada,fechaCreacion,fechaCompletada
1764103610527,Aprender Node.js,Completar tutoriales de fundamentos,alta,true,Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile),Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile)
1764103610528,Practicar módulos,Crear sistema modular,media,true,Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile),Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile)
1764103610529,Revisar código,Code review del proyecto,alta,true,Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile),Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile)
1764103987128,Practicar módulos,Crear sistema modular,media,true,Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile),Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile)
1764103987129,Revisar código,Code review del proyecto,alta,true,Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile),Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile)
1764103992137,Revisar código,Code review del proyecto,alta,true,Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile),Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile)
1764103993716,Aprender Node.js,Completar tutoriales de fundamentos,alta,true,Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile),Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile)
1764103993718,Practicar módulos,Crear sistema modular,media,true,Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile),Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile)
1764103993720,Hacer ejercicio,30 minutos de cardio,baja,false,Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile),
1764103993721,Revisar código,Code review del proyecto,alta,false,Tue Nov 25 2025 17:53:13 GMT-0300 (hora de verano de Chile),
